mint,name,symbol,checkpoint_minutes,monitoring_age_minutes,market_age_minutes,age_basis,window,window_minutes,mcap,liquidity,holders,total_trades,trades_per_hour,num_traders,trades_per_trader,trades_per_trader_per_hour,total_volume,volume_per_hour,avg_trade_size,volume_symmetry,trade_count_symmetry,trade_size_symmetry,turnover_liquidity,turnover_liquidity_per_hour,turnover_mcap,turnover_mcap_per_hour,price_change,holder_change,liquidity_change,num_net_buyers,net_buyer_share,price_impact_per_turnover,churn_per_response,cohort_market_age_band,cohort_mcap_band,cohort_liquidity_band,p_trades_per_hour,p_turnover_liquidity_per_hour,p_trades_per_trader_per_hour,p_volume_symmetry,p_trade_count_symmetry,p_trade_size_symmetry,p_price_impact_per_turnover,p_churn_per_response,matrix_review_trigger,matrix_extreme_axes,archetype_tags,bot_label,retire_label
FqJrZM8VTiJRG3eZwjRjoWUnwCD952DM6EK33BqHpump,MALYSH OWNER POSTED A COIN,MAL,10,10,11.3648399,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FQsxgtgZ1eXJMqJjsCRn36KscdftjnXj2EMSktq1pump,The Galika Project,GALIKA,10,10,10.075497283333334,market_age:firstPool.createdAt,stats5m,5,7989.726344964466,4369.9530987112685,48.0,248.0,2976.0,114.0,2.175438596491228,26.10526315789474,14560.758426159256,174729.10111391108,58.712735589351844,0.8473900989426107,0.9112903225806451,0.6153833113725162,3.3320170942917744,39.9842051315013,1.8224351870744848,21.869222244893816,-47.386185802382926,-31.428571428571427,-26.681717105475688,30.0,0.2631578947368421,0.1927335470439186,1.2329931097819782,age:10-30m,mcap:<10k,liq:1-5k,0.9620689655172414,0.9697986577181208,0.4270833333333333,0.1762295081967213,0.7352941176470589,0.4279661016949153,0.2765151515151515,0.9042553191489362,False,,,,
FS83tVJMiKgnTrY3jrkRLSvhsK9g7rKDucF4Krgnpump,DIP SHITS ITS A MANATEE,Manatee,10,10,12.148173233333333,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,0.0007585688246523034,0.00910282589582764,,,,,,,,,,-50.0,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FteFe2CzWkRLsQJsDDoyuHACmCmgCRzQ9o9jSorNpump,BUTTHOLE AT 3.5!!!!!!!!!,CUMPUTE,10,10,10.091139683333333,market_age:firstPool.createdAt,stats5m,5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FtMRMCdJVgYqwAA3hJfJMBUpGejskQi1YTy3neEJpump,Volatile Rocket,VOLROC,10,10,10.1471219,market_age:firstPool.createdAt,stats5m,5,3476.180514997419,2281.842599566556,2.0,16.0,192.0,3.0,5.333333333333333,64.0,200.97851401562855,2411.7421681875426,12.561157125976784,0.9999999996215658,0.875,0.7777777783664531,0.08807729071838921,1.0569274886206705,0.057815902582889246,0.693790830994671,35.45118094187419,-50.0,-2.3231220551214236,3.0,1.0,3.445168427473592,0.028995699489299646,age:10-30m,mcap:<10k,liq:1-5k,0.503448275862069,0.45302013422818793,0.6944444444444444,0.9057377049180327,0.6428571428571429,0.6822033898305084,0.6856060606060606,0.2801418439716312,False,,,,
FU5mPi5RRfg2hHYvqU4GNRo7mQFJ5dZHAcVFxS7Gpump,ITS A MANATEE,Manatee,10,10,10.231506566666667,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Melania Meme,MELANIA,10,10,817864.1481732334,market_age:firstPool.createdAt,stats5m,5,74917986.20515148,2093837.7479785269,222700.0,4.0,48.0,1.0,4.0,48.0,2.7789950948099933,33.34794113771992,0.6947487737024983,0.9943603482143416,0.5,0.329594650346411,1.3272256159737995e-06,1.5926707391685596e-05,3.709383067505497e-08,4.4512596810065965e-07,-0.3904300825166474,-0.0004490325593508786,0.0001297496447481745,1.0,1.0,2947.4585611612447,1.5919558991367966e-05,age:>=24h,mcap:>=1m,liq:>=100k,0.08955223880597014,0.06716417910447761,0.7686567164179104,0.8629032258064516,0.11290322580645161,0.21774193548387097,0.9918032786885246,0.05303030303030303,False,ECONOMIC_RESPONSE,,,
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Melania Meme,MELANIA,10,10,817864.1481732334,market_age:firstPool.createdAt,stats1h,60,74917986.20515148,2093837.7479785269,222700.0,6.0,6.0,3.0,2.0,2.0,12.934635438714967,12.934635438714967,2.1557725731191613,0.21759382399611915,0.6666666666666667,0.2441573945664398,6.177477434057424e-06,6.177477434057424e-06,1.726506022638601e-07,1.7265060226386007e-07,-0.1152138543387045,,-0.0003703335015915309,2.0,0.6666666666666666,186.61383672172695,5.839973156883661e-06,age:>=24h,mcap:>=1m,liq:>=100k,0.014084507042253521,0.02112676056338028,0.09154929577464789,0.1056338028169014,0.09859154929577464,0.11971830985915492,0.95,0.035211267605633804,False,ECONOMIC_RESPONSE,,,
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Melania Meme,MELANIA,10,10,817864.1481732334,market_age:firstPool.createdAt,stats6h,360,74917986.20515148,2093837.7479785269,222700.0,54.0,9.0,28.0,1.9285714285714286,0.32142857142857145,9117.312562689833,1519.5520937816389,168.8391215312932,0.006257616060332594,0.7407407407407407,0.005335667931954474,0.004354354854616622,0.0007257258091027703,0.0001216972455415908,2.02828742569318e-05,-2.848261348798178,-0.002694134868391512,-0.06620817123642234,5.0,0.17857142857142858,6.636141225387812,0.0006806605207885308,age:>=24h,mcap:>=1m,liq:>=100k,0.04666666666666667,0.1,0.02,0.006756756756756757,0.060810810810810814,0.006756756756756757,0.94,0.11333333333333333,False,ECONOMIC_RESPONSE,,,
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Melania Meme,MELANIA,10,10,817864.1481732334,market_age:firstPool.createdAt,stats24h,1440,74917986.20515148,2093837.7479785269,222700.0,324.0,13.5,106.0,3.056603773584906,0.12735849056603776,10296.873923926018,429.03641349691736,31.780475073845732,0.06043309105450212,0.8765432098765432,0.03993494456319607,0.004917703835393656,0.00020490432647473568,0.00013744194746144936,5.726747810893723e-06,-2.5882087163460055,-0.006286088885296838,-0.10268658208377526,22.0,0.20754716981132076,5.332350856707783,0.00018582281656816997,age:>=24h,mcap:>=1m,liq:>=100k,0.06,0.06,0.04666666666666667,0.006666666666666667,0.14,0.006666666666666667,0.9666666666666667,0.07333333333333333,False,ECONOMIC_RESPONSE,,,
